run,delay time [ns],Pressure,Free surface velocity,particle velocity,label,AB integrated waveprofile,AB filtered integrated waveprofile,EF integrated waveprofile,EF filtered integrated waveprofile,FILE
42,8,17.1,1480,740,19,12.161,12.161,0,0,1.png
51,8,14,980,490,12,12.237,12.237,-0.005,0,2.png
68,7,-1,1200,600,15,14.272,14.272,0.364,0,3.png
70,9,-1,1690,845,22.2,15.33,15.33,0.238,0,4.png
71,6.5,-1,2160,1080,29.6,0.374,0,33.394,33.394,5.png
72,6,-1,1050,525,13,11.752,11.752,-0.099,0,6.png
74,8,22,1680,840,22,0.149,0,32.365,32.365,7.png
75,7,-1,1700,850,22.3,14.581,14.581,0.276,0,8.png
76,6,-1,1700,850,22.3,0.016,0,31.485,31.485,9.png
77,5,-1,1460,730,18.7,0,0,0,0,10.png
84,8,16,1275,637.5,16.1,8.854,8.854,0.008,0,11.png
85,8,-1,1250,625,15.7,0.299,0,26.128,26.128,12.png
86,8,21,1700,850,22.3,10.015,10.015,0.005,0,13.png
87,8,12.7,1125,562.5,14,-0.014,0,14.407,14.407,14.png
88,7.5,17.3,1400,700,17.9,8.59,8.59,-0.08,0,15.png
89,7.5,11.4,925,462.5,11.3,-0.293,0,0,0,16.png
90,7.5,14.6,1175,587.5,14.7,7.083,7.083,-0.141,0,17.png
91,7,12.4,950,475,11.6,0.055,0,13.581,13.581,18.png
92,7,16.5,1325,662.5,16.8,6.781,6.781,-0.141,0,19.png
95,6.5,-1,1075,537.5,13.3,-0.08,0,13.891,13.891,20.png
96,7,15,1200,600,15,6.662,6.662,0.135,0,21.png
97,6,8.5,675,337.5,8,0.202,0,10.13,10.13,22.png
98,6.5,16,1250,625,15.7,6.148,6.148,-0.156,0,23.png
102,5.5,10.5,875,437.5,10.6,0.329,0,13.008,13.008,24.png
103,6.5,14.3,1375,687.5,17.5,8.652,8.652,0.156,0,25.png
104,5,13.8,1125,562.5,14,-0.138,0,16.362,16.362,26.png
105,6,15,1250,625,15.7,8.012,8.012,0.005,0,27.png
106,4.5,11.3,950,475,11.6,-0.021,0,12.405,12.405,28.png
107,6,15,1400,700,17.9,9.04,9.04,0.003,0,29.png
108,8.5,13.8,1050,525,13,-0.037,0,13.756,13.756,30.png
109,5.5,18.3,1275,637.5,16.1,9.549,9.549,0.215,0,31.png
110,9,13.6,1050,525,13,0.211,0,15.56,15.56,32.png
111,5.5,18.7,1550,775,20.1,11.248,11.248,0.09,0,33.png
112,9.5,15.1,1150,575,14.3,-0.312,0,18.591,18.591,34.png
113,5,21.8,1575,787.5,20.4,11.121,11.121,-0.035,0,35.png
114,10,12.4,925,462.5,11.3,0.049,0,12.15,12.15,36.png
115,5,12.4,1250,625,15.7,8.338,8.338,0.228,0,37.png
116,11,13,1000,500,12.3,-0.299,0,14.82,14.82,38.png
117,4.5,19.4,1600,800,20.8,9.611,9.611,0.011,0,39.png
118,12,12.6,1000,500,12.3,-0.168,0,17.382,17.382,40.png
119,4.5,18.5,1400,700,17.9,11.307,11.307,-0.013,0,41.png
