Float_0,Integer_1,Float_2,Float_3,String_4,Integer_5,Integer_6,FILE_IMG_7
20.8646768891,92,NaN,76.0093352128,jFMiEtq,67,36,img/img13.png
16.6772883588,11,44.1719703144,NaN,nHEuuvP,33,NaN,img/img11.png
,81,64.8775789355,61.5033712519,,88,64,img/img14.png
3.6985296836,82,44.7419844394,17.3036732304,QfnecUM,91,31,img/img15.png
41.9903127107,74,78.8838402879,29.5812688237,ZjfZwNG,96,91,img/img13.png
20.7925556372,53,3.08406357028,93.4353985515,EECvZOk,10,13,img/img4.png
49.5871381183,56,50.3988110786,36.5081185977,AMPaTLl,21,82,img/img5.png
5.27172075614,32,92.9346596366,29.591070222,wuoJrpC,32,NaN,img/img11.png
27.5845684125,95,,NaN,ahTehTz,96,100,img/img16.png
10.1822567056,17,40.3802060957,,paVtDlg,17,82,
11.3736516162,72,42.1918844551,46.7175698997,DvfvSrs,42,51,img/img7.png
63.9738721141,19,89.8544189886,22.2129746313,LfAXmjV,91,43,
81.0763147984,50,NaN,,mpAGTJH,75,17,img/img3.png
90.4498685391,39,72.6099652412,9.87945357446,DrjNnhQ,43,99,img/img13.png
21.6507374537,75,51.0997622984,54.8202105561,otsOyuW,6,73,img/img7.png
,95,89.065897628,8.72406061277,qUVSLzX,2,99,img/img10.png
25.7429748218,83,78.8307327143,99.4615747611,PdBXOgw,12,86,img/img16.png
25.2625564576,88,0.555894360842,48.2940469075,ctuifeg,38,NaN,img/img14.png
60.2330823813,0,NaN,58.5806506808,OpfQJyQ,89,33,img/img7.png
16.9654467075,68,46.4194176206,71.1289232269,ubhVUzZ,80,83,img/img4.png
,62,15.3911183077,51.9245524229,pTKzkcg,14,86,img/img7.png
49.704639752,72,4.86837774612,45.9506401125,cYsKcKI,96,82,img/img12.png
4.96599277445,66,60.4818471746,95.3927260497,amgqNXv,9,22,img/img1.png
66.305226842,29,3.76657768744,92.8072364992,eHWtMAQ,45,90,img/img7.png
99.2532063109,33,45.4444663425,27.9668426174,vtvifLg,88,44,img/img3.png
66.4795593628,18,NaN,92.8310440279,yuKsUnb,25,90,
86.3317195972,72,,65.3288322041,bhBNNFg,37,,img/img7.png
45.5903114086,0,28.3815171666,NaN,NwGBMJz,70,1,img/img12.png
,5,80.9117540763,NaN,xgeouqM,92,17,img/img4.png
40.4499361282,45,36.6824900538,12.0066378586,imHHXFx,27,24,img/img8.png
77.8310057202,18,90.2269023802,45.54128848,KLFGcff,20,NaN,img/img9.png
14.6996057093,65,83.2347579176,68.7130413207,cxYbpva,65,,img/img3.png
90.0802258247,29,25.7118784148,9.75998597957,AOWSCgG,53,40,img/img10.png
53.833700846,NaN,NaN,,SNHfWla,15,,img/img7.png
66.3480157052,17,40.6660228948,88.9016132724,cyldeWI,88,22,img/img3.png
36.6919865131,98,89.1198363753,59.8436614067,fbROzye,92,46,img/img6.png
28.9701397632,58,81.6497568421,34.4194126558,NVdRqZa,59,49,img/img16.png
67.2289602533,37,4.82774886773,1.05792426688,dGnDGaO,92,,img/img3.png
83.1534563665,82,61.2734595732,14.005384893,VcbjNdA,42,79,img/img3.png
83.986210198,51,59.0396190082,18.7697785413,BVHXANG,95,77,img/img13.png
NaN,73,77.4941585737,16.4756729731,kxdFnUu,33,12,img/img8.png
67.6575399593,55,19.2893270795,,AVWMSwQ,23,30,img/img11.png
42.9152138943,23,54.4648661954,2.36662579624,EDiJory,92,0,img/img15.png
54.7858790415,32,74.6837281354,37.100582925,EjRVTFE,86,53,img/img12.png
