Float_0,Float_1,Float_2,Integer_3,Float_4,Integer_5,Float_6,String_7,FILE_IMG_8,FILE_IMG_9,FILE_DATA_10,FILE_IMG_11,FILE_DATA_12
31.8941044101,48.8449204692,5.30037152915,49,NaN,94,89.352646816,kzbEcJf,img/img3.png,img/img14.png,abc.csv,img/img12.png,abc.csv
90.8345758325,2.81402641062,,13,47.503983011,76,30.2611831047,KqqputM,img/img7.png,img/img16.png,abc.csv,img/img8.png,abc.csv
49.5754408617,,8.30266848746,10,NaN,17,94.9180560894,tCMzqip,img/img4.png,img/img15.png,abc.csv,img/img7.png,abc.csv
99.2273545851,13.809408231,25.5168697319,46,96.2864706177,91,76.4795596223,LCfOlAP,img/img9.png,img/img2.png,abc.csv,,abc.csv
65.3237832981,76.4967110971,30.8769509453,22,16.4120225726,39,82.7711902445,rlRzzkm,img/img13.png,,abc.csv,img/img1.png,abc.csv
44.4103423555,82.2151762984,NaN,46,93.2914494425,53,7.49140706421,JjBhmGp,,img/img4.png,abc.csv,img/img1.png,abc.csv
93.135542538,16.0584821488,97.0898018026,89,49.2935358326,55,6.27663615275,ANunTAi,img/img1.png,img/img8.png,abc.csv,img/img6.png,abc.csv
55.6630592919,56.8680407474,39.6142284298,8,87.812525159,94,60.2656782613,vrmuHUB,img/img13.png,img/img11.png,abc.csv,img/img1.png,abc.csv
42.5794052564,13.6144982449,14.3325189691,62,12.1324587639,24,48.2833061127,xyspmVV,,img/img11.png,abc.csv,img/img12.png,abc.csv
NaN,36.9013663426,8.89160351165,93,69.16307,40,,TKQySlz,img/img5.png,img/img14.png,,img/img13.png,abc.csv
50.3045299402,30.7326574522,69.5472716682,,68.4221088538,40,9.88707855988,cpzSsjQ,img/img14.png,img/img13.png,abc.csv,img/img3.png,abc.csv
25.7450883507,42.6786717961,98.3377903668,31,85.5816139736,23,0.17379318221,EydnotD,img/img2.png,img/img14.png,abc.csv,img/img3.png,abc.csv
,3.87620066027,NaN,NaN,38.1291739321,56,1.95231514583,ilWzlur,img/img10.png,img/img6.png,abc.csv,img/img9.png,
68.6285806497,7.35515165465,80.3482345734,,86.4348033836,56,22.8241535407,wbjKCRU,img/img5.png,,abc.csv,img/img10.png,abc.csv
