Integer_0,Float_1,String_2,String_3,Integer_4,FILE_DATA_5,FILE_IMG_6
51,52.8421320181,aQygRHf,nurXhKi,26,abc.csv,img/img8.png
68,47.4569254885,wzBLUHg,IVrWxtE,66,abc.csv,img/img14.png
64,21.5366179628,GPRmHkr,rTluuvO,,abc.csv,img/img14.png
47,8.56305860224,SkbISyY,KTrwetg,52,abc.csv,img/img15.png
25,23.3467950202,pTvajoM,WqAXoDH,NaN,abc.csv,img/img1.png
33,9.80058203356,UdJfRHh,FNyqdDe,90,abc.csv,img/img14.png
65,88.7730321639,YkHIDWF,IHaMvLe,48,abc.csv,img/img10.png
92,3.44119691278,,UiXKCRT,96,abc.csv,img/img12.png
54,25.2314886457,WRZLdRf,ngaDBLF,13,,img/img5.png
73,55.1657366777,WuURfVS,eeDMony,90,abc.csv,
53,12.9935637456,pEKQphk,uqdOerC,40,abc.csv,img/img10.png
57,20.8507782422,vXdztUl,vyUmhAR,,abc.csv,img/img12.png
87,9.3400341313,vPIBrpO,rqOUoDS,70,abc.csv,img/img13.png
35,,PHmjENU,SMoQvZw,64,abc.csv,img/img14.png
15,NaN,hCFdheg,TCsGiQi,88,abc.csv,
20,73.4392829623,YRwhlzU,HVndWkZ,,abc.csv,img/img10.png
11,10.3294517765,foITydB,QgjlnwM,95,abc.csv,img/img2.png
60,,PaVqYMb,uQVgIiA,89,abc.csv,img/img6.png
35,19.3493071888,,kiMqkbl,55,abc.csv,img/img9.png
NaN,28.0420316404,KUyMRdP,QpIDPrS,24,abc.csv,img/img10.png
27,91.1585012337,FMBsZFj,ysOQWIW,19,abc.csv,img/img13.png
74,48.3548654721,KeOdCLe,UiySXbo,92,abc.csv,img/img7.png
53,49.0646875548,tpyNVlp,xhJCMtl,63,abc.csv,img/img16.png
67,NaN,TADGJiR,UQRiTvj,NaN,abc.csv,
88,38.3201902581,GuDighB,aJVBEjL,14,abc.csv,img/img5.png
66,,HBwabcD,ESWyigK,37,abc.csv,
29,87.9667186182,cWmxemj,fyVnefT,,abc.csv,img/img2.png
72,95.0895091753,MOYHbWd,wvvHvNj,62,abc.csv,img/img12.png
61,55.8723600067,,oATLqoR,30,abc.csv,img/img10.png
1,56.0990873834,aMgDSie,lMMBJUS,95,abc.csv,
27,,ouuzwXo,gkoGUXI,99,abc.csv,img/img1.png
NaN,9.56306044806,GQpFHho,qYMnDed,NaN,abc.csv,img/img1.png
11,38.1299771451,CAxRqCg,eCHRKNN,17,abc.csv,img/img9.png
70,NaN,grRxNDa,UTciubC,56,abc.csv,img/img13.png
99,99.0155571066,zvNmHFK,jtaQMHi,90,abc.csv,img/img7.png
41,65.2880590439,WiCdWcY,,38,abc.csv,img/img9.png
47,92.0002285174,SnQfyuU,OOugyHz,62,abc.csv,img/img2.png
NaN,,lXsYqpM,xdPYWOW,34,abc.csv,img/img5.png
81,82.9001789007,CsoREFz,kOOBuoj,NaN,abc.csv,img/img15.png
48,56.4642755279,RDfAlJo,CESKziH,4,abc.csv,img/img4.png
89,75.6319115306,,dlKimWW,40,abc.csv,
54,25.5303073439,gFbUrhq,yEDdnna,70,abc.csv,img/img15.png
28,97.2422453309,qLmiUbP,YCqEJei,0,,img/img14.png
55,9.59065735765,cZhcsaS,YLDpdKO,76,abc.csv,img/img15.png
46,22.8817827653,FSKWyCD,,NaN,abc.csv,img/img2.png
20,99.2387971904,JToPTjh,yiKehSX,7,abc.csv,img/img4.png
