String_0,Float_1,Integer_2,Integer_3,Float_4,Integer_5,Float_6,FILE_DATA_7,FILE_IMG_8,FILE_DATA_9,FILE_DATA_10,FILE_IMG_11
NtccNJU,30.1479908348,60,48,84.8437064118,58,3.84689730518,abc.csv,img/img13.png,abc.csv,abc.csv,img/img6.png
tzEwGuB,41.7459086054,95,46,87.2396608083,39,NaN,abc.csv,img/img6.png,abc.csv,abc.csv,img/img10.png
aXectlh,,NaN,65,24.8322208569,64,32.6038943066,abc.csv,img/img16.png,abc.csv,abc.csv,img/img6.png
NiHcKnP,52.1605791185,40,27,96.0226202584,NaN,NaN,abc.csv,img/img3.png,abc.csv,abc.csv,img/img8.png
MVCOghb,NaN,33,36,18.6702498646,18,85.4889935976,abc.csv,img/img12.png,abc.csv,abc.csv,img/img7.png
BtnVeUM,51.6855609048,49,7,0.289825656731,34,74.5290522404,abc.csv,img/img8.png,abc.csv,abc.csv,img/img1.png
vRWybPW,67.4713748344,49,,69.0436705785,12,85.0188836298,abc.csv,img/img5.png,abc.csv,abc.csv,img/img6.png
QcHUhwF,25.7611872317,28,85,NaN,32,31.169780288,,img/img6.png,,abc.csv,img/img5.png
ECJWbxA,65.1742858336,NaN,50,15.3193733825,0,80.0770847317,abc.csv,img/img8.png,abc.csv,abc.csv,img/img0.png
VJmxDLQ,,56,NaN,0.871426235464,88,38.1515524154,abc.csv,img/img5.png,abc.csv,abc.csv,img/img2.png
ECZOyyI,36.9229997793,19,18,26.4945249901,38,,abc.csv,img/img0.png,abc.csv,abc.csv,img/img13.png
oIsWZFe,71.117167992,12,38,25.2449702358,71,70.7052859445,abc.csv,img/img11.png,abc.csv,abc.csv,img/img1.png
IWjQUMG,2.42653116025,45,92,24.3194719152,85,34.6646282776,abc.csv,img/img13.png,abc.csv,abc.csv,
EEnoJXh,71.8930463422,12,29,NaN,59,,abc.csv,img/img13.png,abc.csv,abc.csv,img/img6.png
mxeCKxX,55.8333330494,59,43,78.0362337835,6,20.7623998977,abc.csv,img/img4.png,abc.csv,abc.csv,img/img9.png
zJPAbhe,54.3167032521,85,30,35.6575924968,NaN,28.229666947,abc.csv,img/img16.png,abc.csv,abc.csv,img/img8.png
DaSWTtd,73.2384951499,NaN,63,67.6932074587,98,22.3015238992,abc.csv,img/img2.png,abc.csv,abc.csv,
bzunGOM,2.18806301646,52,24,27.311149842,36,24.7854421427,abc.csv,img/img10.png,abc.csv,abc.csv,img/img2.png
zrhNcEg,53.144272795,51,16,35.4572513944,,52.6198972561,abc.csv,img/img16.png,abc.csv,abc.csv,img/img12.png
GbKuOyY,NaN,22,54,NaN,14,15.0101432561,abc.csv,img/img10.png,abc.csv,abc.csv,img/img6.png
cAkZZqw,85.5192310868,71,NaN,42.2636721799,35,48.8696757821,abc.csv,img/img16.png,abc.csv,abc.csv,img/img9.png
lULULGS,54.4511895424,40,68,81.2107076249,42,22.0074738851,abc.csv,img/img9.png,abc.csv,abc.csv,img/img6.png
dEJsVuZ,14.1269480924,46,4,57.0062844352,98,78.981978085,abc.csv,img/img9.png,abc.csv,abc.csv,img/img10.png
