Integer_0,String_1,Float_2,String_3,Float_4
85,GJeIPkA,94.7742634816,JngJWPA,94.8766341431
27,KxJiWVo,47.8807122878,UAFplLN,66.7859559699
85,AsLrZoY,33.2792446282,RfIFCTP,62.7851830618
5,xPAniXL,52.2624209868,hjvQZyD,75.5381477326
85,sQxpZHX,41.188347127,iegnLpI,62.3949172626
51,rnQejXn,8.82073938956,Hwfokyf,66.5620067065
71,,52.24024693,UNllQWq,51.9834142335
89,JLcLbHk,95.8873352367,YHjrQPM,52.5054391218
2,CRSFDTh,44.2102434667,lLbXHjg,22.394367337
75,ppFaSvd,67.3587122749,IjZrgvx,49.4258188638
62,UfKpBwk,26.770349727,WQnNZgP,NaN
74,YHdUmci,34.7879690399,yeUrPvY,66.7551521253
,,33.7643400425,gOMQKpp,72.9552505288
,zduseWS,,xWLllRh,72.1095446886
24,CIsbPGv,98.2095885217,qKrziWG,71.6960213108
6,fzZLrKk,91.6840795416,FCGAqTI,67.7740000768
5,zUMffbG,91.8972753547,taefBMA,NaN
NaN,eJJRxtB,54.108262813,CmUxcwf,84.8990971648
31,GuLiGYO,25.6464949379,,47.311483921
29,JRiKvnm,8.64922662099,mzVvhsu,72.3595229016
30,mgjnYat,13.6147973551,,
55,PwCVDlJ,54.4376913476,zPqHEKB,99.7108685677
NaN,Qyteoqf,65.3596063043,CDeQLFt,60.1480817763
