time,u_min_acutance,u_avg_acutance,u_max_acutance,u_min_gaussian,u_avg_gaussian,u_max_gaussian,u_min_local_contrast,u_avg_local_contrast,u_max_local_contrast,u_min_local_range,u_avg_local_range,u_max_local_range,u_min_salt_and_pepper,u_avg_salt_and_pepper,u_max_salt_and_pepper,u_min_brightness,u_avg_brightness,u_max_brightness,u_min_contrast_strech,u_avg_contrast_strech,u_max_contrast_strech,FILE,FILE_acutance,FILE_gaussian,FILE_local_contrast,FILE_local_range,FILE_salt_and_pepper,FILE_brightness,FILE_contrast_strech
0000,205,254.52924853240685,255,0,1.5742302623697138,255,0,2.17823170001198,255,0,5.399149394992213,255,0,1.9122139690906912,168,0,253.36337756080027,255,0,1.6320923685156343,255,timesteps.0000.png,timesteps.0000_acutance.png,timesteps.0000_gaussian.png,timesteps.0000_local_contrast.png,timesteps.0000_local_range.png,timesteps.0000_salt_and_pepper.png,timesteps.0000_brightness.png,timesteps.0000_contrast_strech.png
0001,205,254.52924853240685,255,0,1.5742302623697138,255,0,2.17823170001198,255,0,5.399149394992213,255,0,1.9122139690906912,168,0,253.36337756080027,255,0,1.6320923685156343,255,timesteps.0001.png,timesteps.0001_acutance.png,timesteps.0001_gaussian.png,timesteps.0001_local_contrast.png,timesteps.0001_local_range.png,timesteps.0001_salt_and_pepper.png,timesteps.0001_brightness.png,timesteps.0001_contrast_strech.png
0002,193,254.55875464238648,255,0,2.38340571462801,255,0,3.7685276147118727,255,0,6.365697256499341,255,0,1.927119024799329,172,0,252.36847220558283,255,0,2.542705463040613,255,timesteps.0002.png,timesteps.0002_acutance.png,timesteps.0002_gaussian.png,timesteps.0002_local_contrast.png,timesteps.0002_local_range.png,timesteps.0002_salt_and_pepper.png,timesteps.0002_brightness.png,timesteps.0002_contrast_strech.png
0003,171,254.53932400862584,255,0,2.828591110578651,255,0,4.738730981190847,255,0,7.091937222954355,255,0,2.0924958068767223,192,0,251.80520246795257,255,0,3.0894123637234934,255,timesteps.0003.png,timesteps.0003_acutance.png,timesteps.0003_gaussian.png,timesteps.0003_local_contrast.png,timesteps.0003_local_range.png,timesteps.0003_salt_and_pepper.png,timesteps.0003_brightness.png,timesteps.0003_contrast_strech.png
0004,205,254.52399664550137,255,0,1.6858856475380377,255,0,2.468439259614233,255,0,5.56809482448784,255,0,1.9535162333772613,168,0,253.22334521384929,255,0,1.7436324427938181,255,timesteps.0004.png,timesteps.0004_acutance.png,timesteps.0004_gaussian.png,timesteps.0004_local_contrast.png,timesteps.0004_local_range.png,timesteps.0004_salt_and_pepper.png,timesteps.0004_brightness.png,timesteps.0004_contrast_strech.png
0005,205,254.52924703486283,255,0,1.6806247753683958,255,0,2.4609230861387323,255,0,5.501446627530849,255,0,1.920082065412723,168,0,253.23324547741703,255,0,1.7328905594824489,255,timesteps.0005.png,timesteps.0005_acutance.png,timesteps.0005_gaussian.png,timesteps.0005_local_contrast.png,timesteps.0005_local_range.png,timesteps.0005_salt_and_pepper.png,timesteps.0005_brightness.png,timesteps.0005_contrast_strech.png
0006,171,253.5744773571343,255,0,11.80713579729244,255,0,25.67343806157901,255,0,25.976639810710434,255,0,7.124332095363604,192,0,240.46189499221276,255,0,11.949974541751528,199,timesteps.0006.png,timesteps.0006_acutance.png,timesteps.0006_gaussian.png,timesteps.0006_local_contrast.png,timesteps.0006_local_range.png,timesteps.0006_salt_and_pepper.png,timesteps.0006_brightness.png,timesteps.0006_contrast_strech.png
0007,171,254.2390244998203,255,0,6.570004193123278,255,0,12.196411884509404,255,0,13.705332754282976,255,0,3.797268479693303,192,0,246.90844914340482,255,0,7.770634659158979,255,timesteps.0007.png,timesteps.0007_acutance.png,timesteps.0007_gaussian.png,timesteps.0007_local_contrast.png,timesteps.0007_local_range.png,timesteps.0007_salt_and_pepper.png,timesteps.0007_brightness.png,timesteps.0007_contrast_strech.png
0008,189,254.36866239367438,255,0,4.388626153108901,255,0,7.141251347789625,255,0,9.91144722654846,255,0,2.9458742662034263,181,0,249.87138792380495,255,0,4.920125494189529,255,timesteps.0008.png,timesteps.0008_acutance.png,timesteps.0008_gaussian.png,timesteps.0008_local_contrast.png,timesteps.0008_local_range.png,timesteps.0008_salt_and_pepper.png,timesteps.0008_brightness.png,timesteps.0008_contrast_strech.png
0009,205,254.5292769857434,255,0,1.6394363244279382,255,0,2.358565951838984,255,0,5.452873786989337,255,0,1.9144992212771055,168,0,253.28283814544147,255,0,1.6936893494668743,255,timesteps.0009.png,timesteps.0009_acutance.png,timesteps.0009_gaussian.png,timesteps.0009_local_contrast.png,timesteps.0009_local_range.png,timesteps.0009_salt_and_pepper.png,timesteps.0009_brightness.png,timesteps.0009_contrast_strech.png
0010,205,254.52924853240685,255,0,1.5742302623697138,255,0,2.17823170001198,255,0,5.399149394992213,255,0,1.9122139690906912,168,0,253.36337756080027,255,0,1.6320923685156343,255,timesteps.0010.png,timesteps.0010_acutance.png,timesteps.0010_gaussian.png,timesteps.0010_local_contrast.png,timesteps.0010_local_range.png,timesteps.0010_salt_and_pepper.png,timesteps.0010_brightness.png,timesteps.0010_contrast_strech.png
0011,205,254.52924853240685,255,0,1.5742302623697138,255,0,2.17823170001198,255,0,5.399149394992213,255,0,1.9122139690906912,168,0,253.36337756080027,255,0,1.6320923685156343,255,timesteps.0011.png,timesteps.0011_acutance.png,timesteps.0011_gaussian.png,timesteps.0011_local_contrast.png,timesteps.0011_local_range.png,timesteps.0011_salt_and_pepper.png,timesteps.0011_brightness.png,timesteps.0011_contrast_strech.png
