phi,theta,xValue,yValue,zValue,u_avg_acutance,u_avg_gaussian,u_avg_local_contrast,u_avg_local_range,u_avg_salt_and_pepper,u_avg_brightness,u_avg_contrast_strech,FILE,FILE_acutance,FILE_gaussian,FILE_local_contrast,FILE_local_range,FILE_salt_and_pepper,FILE_brightness,FILE_contrast_strech
0,30,166,166,166,254.5374527,36.18078613,85.77954102,10.40431213,1.952724457,48.98660278,11.78001404,images/1.jpg,images/1_acutance.png,images/1_gaussian.png,images/1_local_contrast.png,images/1_local_range.png,images/1_salt_and_pepper.png,images/1_brightness.png,images/1_contrast_strech.png
0,30,166,499,166,254.5300331,34.48160172,87.76790619,10.68822479,1.967861176,48.82327271,18.61666489,images/2.jpg,images/2_acutance.png,images/2_gaussian.png,images/2_local_contrast.png,images/2_local_range.png,images/2_salt_and_pepper.png,images/2_brightness.png,images/2_contrast_strech.png
0,30,166,832,166,254.5152473,35.79130173,91.03254318,11.09410858,2.065189362,50.52785873,22.16894913,images/3.jpg,images/3_acutance.png,images/3_gaussian.png,images/3_local_contrast.png,images/3_local_range.png,images/3_salt_and_pepper.png,images/3_brightness.png,images/3_contrast_strech.png
0,90,166,166,166,254.5226898,46.15359879,95.26164627,9.805683136,1.870853424,56.95637512,10.66539764,images/4.jpg,images/4_acutance.png,images/4_gaussian.png,images/4_local_contrast.png,images/4_local_range.png,images/4_salt_and_pepper.png,images/4_brightness.png,images/4_contrast_strech.png
0,90,166,499,166,254.5017815,39.24859238,98.00027847,9.648395538,1.753723145,53.9446373,12.23950195,images/5.jpg,images/5_acutance.png,images/5_gaussian.png,images/5_local_contrast.png,images/5_local_range.png,images/5_salt_and_pepper.png,images/5_brightness.png,images/5_contrast_strech.png
0,90,166,832,166,254.4798546,33.05705261,101.4991341,9.693721771,1.679111481,51.56166077,22.46421051,images/6.jpg,images/6_acutance.png,images/6_gaussian.png,images/6_local_contrast.png,images/6_local_range.png,images/6_salt_and_pepper.png,images/6_brightness.png,images/6_contrast_strech.png
0,150,166,166,166,254.6024132,42.49101639,86.03323746,7.821762085,1.484294891,52.58898926,9.868915558,images/7.jpg,images/7_acutance.png,images/7_gaussian.png,images/7_local_contrast.png,images/7_local_range.png,images/7_salt_and_pepper.png,images/7_brightness.png,images/7_contrast_strech.png
0,150,166,499,166,254.5759926,34.27200317,88.92659378,8.052589417,1.372509003,48.88692093,10.37676239,images/8.jpg,images/8_acutance.png,images/8_gaussian.png,images/8_local_contrast.png,images/8_local_range.png,images/8_salt_and_pepper.png,images/8_brightness.png,images/8_contrast_strech.png
0,150,166,832,166,254.5625839,26.47157669,91.87757111,8.204433441,1.252723694,45.06001663,24.3224144,images/9.jpg,images/9_acutance.png,images/9_gaussian.png,images/9_local_contrast.png,images/9_local_range.png,images/9_salt_and_pepper.png,images/9_brightness.png,images/9_contrast_strech.png
0,30,166,166,499,254.5152855,31.47199249,88.70957184,12.41388321,2.264022827,46.70601654,18.62082291,images/10.jpg,images/10_acutance.png,images/10_gaussian.png,images/10_local_contrast.png,images/10_local_range.png,images/10_salt_and_pepper.png,images/10_brightness.png,images/10_contrast_strech.png
0,30,166,499,499,254.5389481,30.93117142,89.97296524,11.82610703,2.128990173,46.9967804,19.87197495,images/11.jpg,images/11_acutance.png,images/11_gaussian.png,images/11_local_contrast.png,images/11_local_range.png,images/11_salt_and_pepper.png,images/11_brightness.png,images/11_contrast_strech.png
0,30,166,832,499,254.5545044,33.80337906,91.52153397,10.79955292,1.921958923,49.55783844,22.69393921,images/12.jpg,images/12_acutance.png,images/12_gaussian.png,images/12_local_contrast.png,images/12_local_range.png,images/12_salt_and_pepper.png,images/12_brightness.png,images/12_contrast_strech.png
0,90,166,166,499,254.4573402,42.25807953,97.94781876,15.22306824,2.883361816,55.69688034,14.2073288,images/13.jpg,images/13_acutance.png,images/13_gaussian.png,images/13_local_contrast.png,images/13_local_range.png,images/13_salt_and_pepper.png,images/13_brightness.png,images/13_contrast_strech.png
0,90,166,499,499,254.4708366,35.68634415,99.86037827,12.87462616,2.317020416,52.39945221,17.29043579,images/14.jpg,images/14_acutance.png,images/14_gaussian.png,images/14_local_contrast.png,images/14_local_range.png,images/14_salt_and_pepper.png,images/14_brightness.png,images/14_contrast_strech.png
0,90,166,832,499,254.5061684,31.28832245,101.9299393,10.50953293,1.730644226,50.63167572,22.71375275,images/15.jpg,images/15_acutance.png,images/15_gaussian.png,images/15_local_contrast.png,images/15_local_range.png,images/15_salt_and_pepper.png,images/15_brightness.png,images/15_contrast_strech.png
0,150,166,166,499,254.5010223,43.62600708,88.62202454,15.09231186,2.912963867,54.0700531,11.86751556,images/16.jpg,images/16_acutance.png,images/16_gaussian.png,images/16_local_contrast.png,images/16_local_range.png,images/16_salt_and_pepper.png,images/16_brightness.png,images/16_contrast_strech.png
0,150,166,499,499,254.5241432,35.46774292,90.66365433,12.48268509,2.226905823,50.06407547,16.44936752,images/17.jpg,images/17_acutance.png,images/17_gaussian.png,images/17_local_contrast.png,images/17_local_range.png,images/17_salt_and_pepper.png,images/17_brightness.png,images/17_contrast_strech.png
0,150,166,832,499,254.5564575,26.89698029,92.41182709,9.741397858,1.517868042,45.87747955,23.72740173,images/18.jpg,images/18_acutance.png,images/18_gaussian.png,images/18_local_contrast.png,images/18_local_range.png,images/18_salt_and_pepper.png,images/18_brightness.png,images/18_contrast_strech.png
0,30,166,166,832,254.5762901,27.58423996,91.8734169,10.16001511,1.631687164,45.09070969,19.86706161,images/19.jpg,images/19_acutance.png,images/19_gaussian.png,images/19_local_contrast.png,images/19_local_range.png,images/19_salt_and_pepper.png,images/19_brightness.png,images/19_contrast_strech.png
0,30,166,499,832,254.6017761,27.55387878,91.95362091,10.20012665,1.634716034,45.31824112,20.92300034,images/20.jpg,images/20_acutance.png,images/20_gaussian.png,images/20_local_contrast.png,images/20_local_range.png,images/20_salt_and_pepper.png,images/20_brightness.png,images/20_contrast_strech.png
0,30,166,832,832,254.5979309,31.82803726,92.29831314,10.07062149,1.692340851,48.40010834,23.42908859,images/21.jpg,images/21_acutance.png,images/21_gaussian.png,images/21_local_contrast.png,images/21_local_range.png,images/21_salt_and_pepper.png,images/21_brightness.png,images/21_contrast_strech.png
0,90,166,166,832,254.5968285,44.6686821,101.6057777,8.452136993,1.396938324,57.93972015,11.0752449,images/22.jpg,images/22_acutance.png,images/22_gaussian.png,images/22_local_contrast.png,images/22_local_range.png,images/22_salt_and_pepper.png,images/22_brightness.png,images/22_contrast_strech.png
0,90,166,499,832,254.5858002,39.72741699,102.1805382,8.589977264,1.385829926,55.58607864,11.10356903,images/23.jpg,images/23_acutance.png,images/23_gaussian.png,images/23_local_contrast.png,images/23_local_range.png,images/23_salt_and_pepper.png,images/23_brightness.png,images/23_contrast_strech.png
0,90,166,832,832,254.5921822,38.85145187,102.7297783,9.123565674,1.490917206,55.20567322,18.76212692,images/24.jpg,images/24_acutance.png,images/24_gaussian.png,images/24_local_contrast.png,images/24_local_range.png,images/24_salt_and_pepper.png,images/24_brightness.png,images/24_contrast_strech.png
0,150,166,166,832,254.6644096,57.36854553,92.10956955,5.747280121,1.098110199,62.50756836,11.70881271,images/25.jpg,images/25_acutance.png,images/25_gaussian.png,images/25_local_contrast.png,images/25_local_range.png,images/25_salt_and_pepper.png,images/25_brightness.png,images/25_contrast_strech.png
0,150,166,499,832,254.6760254,53.35636902,92.94823074,5.744979858,1.067745209,60.88755035,11.64783096,images/26.jpg,images/26_acutance.png,images/26_gaussian.png,images/26_local_contrast.png,images/26_local_range.png,images/26_salt_and_pepper.png,images/26_brightness.png,images/26_contrast_strech.png
0,150,166,832,832,254.6948395,49.18425369,93.42900467,5.697441101,1.027320862,59.24830246,17.0749321,images/27.jpg,images/27_acutance.png,images/27_gaussian.png,images/27_local_contrast.png,images/27_local_range.png,images/27_salt_and_pepper.png,images/27_brightness.png,images/27_contrast_strech.png
0,30,499,166,166,254.5637016,30.33465958,85.9956665,9.65165329,1.720817566,44.97781754,17.83499908,images/28.jpg,images/28_acutance.png,images/28_gaussian.png,images/28_local_contrast.png,images/28_local_range.png,images/28_salt_and_pepper.png,images/28_brightness.png,images/28_contrast_strech.png
0,30,499,499,166,254.5682068,29.92347717,87.88939667,9.86044693,1.716117859,45.80194855,19.22114563,images/29.jpg,images/29_acutance.png,images/29_gaussian.png,images/29_local_contrast.png,images/29_local_range.png,images/29_salt_and_pepper.png,images/29_brightness.png,images/29_contrast_strech.png
0,30,499,832,166,254.5536613,33.0933609,90.85276031,10.09353638,1.802387238,49.09370041,22.11306381,images/30.jpg,images/30_acutance.png,images/30_gaussian.png,images/30_local_contrast.png,images/30_local_range.png,images/30_salt_and_pepper.png,images/30_brightness.png,images/30_contrast_strech.png
0,90,499,166,166,254.5305176,36.44006348,95.53909683,9.094726563,1.636779785,51.54796219,16.07502365,images/31.jpg,images/31_acutance.png,images/31_gaussian.png,images/31_local_contrast.png,images/31_local_range.png,images/31_salt_and_pepper.png,images/31_brightness.png,images/31_contrast_strech.png
0,90,499,499,166,254.5229797,32.95838928,98.1626091,8.758571625,1.483066559,50.12207031,19.9053154,images/32.jpg,images/32_acutance.png,images/32_gaussian.png,images/32_local_contrast.png,images/32_local_range.png,images/32_salt_and_pepper.png,images/32_brightness.png,images/32_contrast_strech.png
0,90,499,832,166,254.5160561,30.50370026,101.4640999,8.686496735,1.40309906,49.7290535,22.5502739,images/33.jpg,images/33_acutance.png,images/33_gaussian.png,images/33_local_contrast.png,images/33_local_range.png,images/33_salt_and_pepper.png,images/33_brightness.png,images/33_contrast_strech.png
0,150,499,166,166,254.5914459,32.05166245,86.11800385,7.321708679,1.290512085,46.35549927,17.1126976,images/34.jpg,images/34_acutance.png,images/34_gaussian.png,images/34_local_contrast.png,images/34_local_range.png,images/34_salt_and_pepper.png,images/34_brightness.png,images/34_contrast_strech.png
0,150,499,499,166,254.5782318,27.0836525,88.83881378,7.412338257,1.172119141,44.67139053,21.37956619,images/35.jpg,images/35_acutance.png,images/35_gaussian.png,images/35_local_contrast.png,images/35_local_range.png,images/35_salt_and_pepper.png,images/35_brightness.png,images/35_contrast_strech.png
0,150,499,832,166,254.5764961,23.39845657,91.72312164,7.471061707,1.064990997,43.05661392,26.86568832,images/36.jpg,images/36_acutance.png,images/36_gaussian.png,images/36_local_contrast.png,images/36_local_range.png,images/36_salt_and_pepper.png,images/36_brightness.png,images/36_contrast_strech.png
0,30,499,166,499,254.5624504,25.62675095,88.76533508,10.65774155,1.844665527,43.20837021,21.53385925,images/37.jpg,images/37_acutance.png,images/37_gaussian.png,images/37_local_contrast.png,images/37_local_range.png,images/37_salt_and_pepper.png,images/37_brightness.png,images/37_contrast_strech.png
0,30,499,499,499,254.591629,26.76145935,89.9694519,10.34877777,1.766700745,44.28870773,22.00218201,images/38.jpg,images/38_acutance.png,images/38_gaussian.png,images/38_local_contrast.png,images/38_local_range.png,images/38_salt_and_pepper.png,images/38_brightness.png,images/38_contrast_strech.png
0,30,499,832,499,254.5921478,31.93347168,91.60423279,9.721763611,1.657924652,48.30957794,23.5015831,images/39.jpg,images/39_acutance.png,images/39_gaussian.png,images/39_local_contrast.png,images/39_local_range.png,images/39_salt_and_pepper.png,images/39_brightness.png,images/39_contrast_strech.png
0,90,499,166,499,254.4976845,33.35720062,97.96825409,12.37380981,2.232746124,50.5018959,19.54874039,images/40.jpg,images/40_acutance.png,images/40_gaussian.png,images/40_local_contrast.png,images/40_local_range.png,images/40_salt_and_pepper.png,images/40_brightness.png,images/40_contrast_strech.png
